"Estación de Peaje","Año","Mes","Código Estación","Departamento","TRAFICO EFECTIVO I","TRAFICO EFECTIVO IE","TRAFICO EFECTIVO  IEA","TRAFICO EFECTIVO  IEB","TRAFICO EFECTIVO IEE","TRAFICO EFECTIVO  IEQ","TRAFICO EFECTIVO II","TRAFICO EFECTIVO IIA","TRAFICO EFECTIVO IIE","TRAFICO EFECTIVO IIEE","TRAFICO EFECTIVO IIEQ","TRAFICO EFECTIVO IIE REV","TRAFICO EFECTIVO III","TRAFICO EFECTIVO IIIE","TRAFICO EFECTIVO  IIIP","TRAFICO EFECTIVO  IIIG","TRAFICO EFECTIVO IV","TRAFICO EFECTIVO VI","TRAFICO EFECTIVO VII","TRAFICO EFECTIVO  IEB 2","TRAFICO EFECTIVO  IVE","TRAFICO EFECTIVO V","TRAFICO EFECTIVO V (B)","TRAFICO EFECTIVO  V (B-A)","TRAFICO EFECTIVO  V E","Tráfico Total","VEHÍCULOS IPREV I","VEHÍCULOS IPREV IE","VEHÍCULOS IPREV IEA","VEHÍCULOS IPREV IEB","VEHÍCULOS IPREV IEQ","VEHÍCULOS IPREV II","VEHÍCULOS IPREV IIE","VEHÍCULOS IPREV IIEE","VEHÍCULOS IPREV IIEQ","VEHÍCULOS IPREV III","VEHÍCULOS IPREV IIIE","VEHÍCULOS IPREV IIIP","VEHÍCULOS IPREV IIIG","VEHÍCULOS IPREV IV","VEHÍCULOS IPREV IVE","VEHÍCULOS IPREV V","VEHÍCULOS IPREV VB","VEHÍCULOS IPREV VE","VEHÍCULOS IPREV VI","VEHÍCULOS IPREV VII","TOTAL VEH IPREV","EJES IPREV Ejes Grua","EJES IPREV Ejes Remolque","EJES IPREV Ejes Adicionales","EJES IPREV Ejes Cañeros","TOTAL EJES","EJES EFECTIVO Ejes Grua","EJES EFECTIVO Ejes Remolque","EJES EFECTIVO Ejes Adicionales","EJES EFECTIVO Ejes Cañeros","TOTAL EJES 2","TIQUETES PREPAGO I","TIQUETES PREPAGO IE","TIQUETES PREPAGO IEA","TIQUETES PREPAGO IEB","TIQUETES PREPAGO IEQ","TIQUETES PREPAGO II","TIQUETES PREPAGO III","TIQUETES PREPAGO IIE","TIQUETES PREPAGO IIEE","TIQUETES PREPAGO IIEQ","TIQUETES PREPAGO III 2","TIQUETES PREPAGO IIIE","TIQUETES PREPAGO IIIP","TIQUETES PREPAGO IIIG","TIQUETES PREPAGO IV","TIQUETES PREPAGO IVE","TIQUETES PREPAGO V","TIQUETES PREPAGO VB","TIQUETES PREPAGO VE","TIQUETES PREPAGO VI","TIQUETES PREPAGO VII","Total Prepagos","EVASORES UNIDAD I","EVASORES UNIDAD IE","EVASORES UNIDAD IEA","EVASORES UNIDAD IEB","EVASORES UNIDAD IEQ","EVASORES UNIDAD II","EVASORES UNIDAD IIE","EVASORES UNIDAD IIEE","EVASORES UNIDAD IIEQ","EVASORES UNIDAD III","EVASORES UNIDAD IIIE","EVASORES UNIDAD IIIG","EVASORES UNIDAD IIIP","EVASORES UNIDAD IV","EVASORES UNIDAD IVE","EVASORES UNIDAD V","EVASORES UNIDAD VI","EVASORES UNIDAD VII","EVASORES UNIDAD VB","EVASORES UNIDAD VE","Total Evasores","VEH RES 3694 DE 2007 IE","VEH RES 3694 DE 2007 IIE","VEH RES 3694 DE 2007 Total","TOTAL VEH (EFECTIVO+PREPAGOS+EVASION+REV+VEH RES3694)","EXENTOS RES0000015 (Koran)","EXENTOS  -  LEY 787 2002 I","EXENTOS  -  LEY 787 2002 II","EXENTOS  -  LEY 787 2002 III","EXENTOS  -  LEY 787 2002 IIIP","EXENTOS  -  LEY 787 2002 IIIG","EXENTOS  -  LEY 787 2002 IV","EXENTOS  -  LEY 787 2002 V","EXENTOS  -  LEY 787 2002 VB","EXENTOS  -  LEY 787 2002 VI","EXENTOS  -  LEY 787 2002 VII","EXENTOS  -  LEY 787 2002 Total Exentos","EA","EG","ER","TOTAL VEH (EFECTIVO+PREPAGOS+EVASION+REV+VEH RES 3694+EXENTOS)","EXENTOS RES0000015 (Koran) 2","EXENTOS EMERGENCIA VIAL CAT I","EXENTOS EMERGENCIA VIAL CAT II","EXENTOS EMERGENCIA VIAL TOTAL","EXONERADOS INVIAS I","EXONERADOS INVIAS II","EXONERADOS INVIAS III","EXONERADOS INVIAS IV","EXONERADOS INVIAS V","EXONERADOS INVIAS VI","EXONERADOS INVIAS VII","EXONERADOS INVIAS IIIP","EXONERADOS INVIAS IIIG","TOTAL EXONERADOS INVIAS"
"RIO BLANCO","2015","Diciembre","00027","SANTANDER","56,080","0",,,"0",,"28,251","0","0","0",,,"2,991","0",,,"2,422","0","0",,,"11,557",,,,"101301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO FRIO","2015","Diciembre","00028","VALLE","23,694","0",,,"0",,"7,900","0","0","0",,,"934","0",,,"1,499","0","0",,,"2,665",,,,"36692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO SOGAMOSO","2015","Diciembre","00029","SANTANDER","116,926","61",,,"0",,"44,017","0","10","0",,,"3,820","0",,,"3,422","0","0",,,"7,101",,,,"175357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SACHICA","2015","Diciembre","00030","BOYACA","105,860","0",,,"0",,"15,311","0","0","0",,,"798","0",,,"197","0","0",,,"315",,,,"122481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN CLEMENTE","2015","Diciembre","00031","CALDAS","19,376","0",,,"0",,"9,004","0","0","0",,,"690","0",,,"297","0","0",,,"849",,,,"30216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN JUAN","2015","Diciembre","00032","GUAJIRA","91,260","45,033",,,"0",,"12,834","0","0","0",,,"855","0",,,"158","0","0",,,"1,538",,,,"151678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN ONOFRE","2015","Diciembre","00033","SUCRE","39,202","0",,,"0",,"18,618","0","0","0",,,"4,442","0",,,"3,843","0","0",,,"7,889",,,,"73994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN PEDRO","2015","Diciembre","00034","CASANARE","47,682","2,348",,,"0",,"16,280","0","0","0",,,"1,972","0",,,"9,113","0","0",,,"7,757",,,,"85152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUPIA","2015","Diciembre","00035","CALDAS","96,628","0",,,"0",,"47,476","0","0","0",,,"7,974","0",,,"6,467","0","0",,,"14,090",,,,"172635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARAZA","2015","Diciembre","00036","ANTIOQUIA","56,579","1,037",,,"0",,"32,671","0","0","0",,,"5,321","0",,,"5,524","0","0",,,"15,254",,,,"116386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TORO","2015","Diciembre","00037","VALLE","14,310","3,252",,,"0",,"5,068","0","0","0",,,"1,413","0",,,"704","0","0",,,"959",,,,"25706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YUCAO","2015","Diciembre","00038","META","17,654","0",,,"0",,"2,291","0","0","0",,,"1,791","0",,,"2,823","11,044","6,163",,,"2,302",,,,"44068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL CARMEN","2015","Diciembre","00044","BOLIVAR","65,774","3,703",,,"0",,"35,615","0","35","0",,,"3,192","0",,,"4,364","0","0",,,"13,520",,,,"126203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANO","2015","Diciembre","#N/D","NARIÑO","42,685","0",,,"0",,"28,416","0","0","0",,,"0","0",,,"0","0","0",,,"0",,,,"71101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAZA","2015","Diciembre","00046","NARIÑO","0","0",,,"0",,"0","0","0","0",,,"3,236","0",,,"3,066","0","0",,,"7,550",,,,"13852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL PLACER","2015","Diciembre","00047","NARIÑO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ACAPULCO","2016","Enero","00001","RISARALDA","72,448","0",,,"0",,"20,750","0","0","0",,,"1,797","0",,,"437","0","0",,,"1,148",,,,"96580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALTAMIRA","2016","Enero","00002","HUILA","68,431","6,652",,,"0",,"25,637","0","0","0",,,"2,410","0",,,"2,637","0","0",,,"3,866",,,,"109633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALVARADO","2016","Enero","00003","TOLIMA","125,852","1,308",,,"0",,"28,697","0","0","0",,,"4,565","0",,,"7,774","0","0",,,"11,660",,,,"179856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMAGA","2016","Enero","00004","ANTIOQUIA","162,868","0",,,"0",,"45,643","5,348","3,004","0",,,"8,647","2,344",,,"760","0","0",,,"1,826",,,,"230440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARCABUCO","2016","Enero","00005","BOYACA","100,701","0",,,"0",,"25,317","0","0","0",,,"1,871","0",,,"1,230","0","0",,,"7,765",,,,"136884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BICENTENARIO","2016","Enero","00006","CUNDINAMARCA","48,556","1,195",,,,,"26,324","0","4","0",,,"3,748","0",,,"4,485","0","0",,,"7,251",,,,"91563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAJAMARCA","2016","Enero","00007","TOLIMA","122,833","0",,,"0",,"59,378","0","0","0",,,"14,379","0",,,"10,240","0","0",,,"31,775",,,,"238605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALAMAR","2016","Enero","00008","BOLIVAR","51,189","10",,,"0",,"26,852","0","0","0",,,"2,427","0",,,"3,960","0","0",,,"12,399",,,,"96837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CARIMAGUA","2016","Enero","00009","CORDOBA","44,451","0",,,"0",,"4,800","0","0","0",,,"8,320","0",,,"7,417","5,644","14,342",,,"5,389",,,,"90363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CASETABLA","2016","Enero","00010","META","14,948","13,175",,,"19,113",,"1,989","0","5,938","0",,,"3,540","0",,,"5,990","5,093","2,697",,,"4,316",,,,"76799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CISNEROS","2016","Enero","00011","ANTIOQUIA","37,314","1,896",,,,,"15,555","0","292","0",,,"1,729","0",,,"1,313","0","0",,,"2,004",,,,"60103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CRUCERO","2016","Enero","00012","BOYACA","56,814","10,633",,,,,"15,895","0","6,333","0",,,"1,918","0",,,"2,298","0","0",,,"3,890",,,,"97781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL BORDO","2016","Enero","00013","CAUCA","65,813","0",,,"0",,"35,699","0","0","0",,,"3,008","0",,,"2,939","0","0",,,"6,909",,,,"114368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HONDA","2016","Enero","00014","TOLIMA","111,573","5,749",,,"0",,"31,051","0","0","0",,,"2,630","0",,,"5,878","0","0",,,"11,936",,,,"168817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA APARTADA","2016","Enero","00015","CORDOBA","101,726","0",,,"0",,"36,656","0","0","0",,,"6,443","0",,,"6,067","0","0",,,"15,871",,,,"166763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA CABAÑA","2016","Enero","00016","CUNDINAMARCA","48,182","0",,,"0",,"239","0","6,406","0",,,"803","0",,,"1,147","1,515","0",,,"539",,,,"58831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA ESPERANZA","2016","Enero","00017","SUCRE","92,931","4,067",,,"0",,"28,099","0","0","0",,,"8,791","0",,,"3,850","0","0",,,"8,367",,,,"146105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA PINTADA","2016","Enero","00018","ANTIOQUIA","21,583","0",,,"0",,"5,370","0","0","0",,,"961","0",,,"162","0","0",,,"873",,,,"28949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS CAUCHOS","2016","Enero","00019","HUILA","116,617","8,614",,,"0",,"39,454","0","0","0",,,"3,518","0",,,"2,863","0","0",,,"4,529",,,,"175595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS LLANOS","2016","Enero","00020","ANTIOQUIA","83,950","598",,,"0",,"38,659","0","2,122","0",,,"6,214","0",,,"5,628","0","0",,,"15,261",,,,"152432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MACHETA","2016","Enero","00021","CUNDINAMARCA","56,834","14",,,"0",,"11,983","0","0","0",,,"2,781","0",,,"10","0","0",,,"9",,,,"71631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MATA DE CAÑA","2016","Enero","00022","CORDOBA","106,045","0",,,"0",,"22,981","0","0","0",,,"2,365","0",,,"708","0","0",,,"1,808",,,,"133907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS PATIOS","2016","Enero","#N/D","CUNDINAMARCA","101,720","22,966",,,"0",,"511","6,892","8,451","0",,,"1,431","0",,,"178","18","0",,,"2",,,,"142169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PICACHO","2016","Enero","00024","SANTANDER","42,041","0",,,"0",,"23,481","0","0","0",,,"1,243","0",,,"2,349","0","0",,,"5,863",,,,"74977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRIMAVERA","2016","Enero","00025","ANTIOQUIA","129,527","0",,,"0",,"50,818","0","0","0",,,"8,529","0",,,"5,905","0","0",,,"13,815",,,,"208594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PUERTO BERRIO","2016","Enero","00026","ANTIOQUIA","32,175","2,311",,,"0",,"13,977","0","212","0",,,"2,086","0",,,"1,434","0","0",,,"2,156",,,,"54351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO BLANCO","2016","Enero","00027","SANTANDER","64,758","0",,,"0",,"26,503","0","0","0",,,"2,927","0",,,"2,205","0","0",,,"13,312",,,,"109705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO FRIO","2016","Enero","00028","VALLE","26,442","0",,,"0",,"7,830","0","0","0",,,"1,078","0",,,"1,724","0","0",,,"3,204",,,,"40278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO SOGAMOSO","2016","Enero","00029","SANTANDER","110,850","40",,,"0",,"40,230","0","10","0",,,"3,540","0",,,"3,347","0","0",,,"6,652",,,,"164669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SACHICA","2016","Enero","00030","BOYACA","93,406","0",,,"0",,"13,034","0","0","0",,,"669","0",,,"162","0","0",,,"332",,,,"107603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN CLEMENTE","2016","Enero","00031","CALDAS","19,179","0",,,"0",,"8,785","0","0","0",,,"816","0",,,"366","0","0",,,"1,153",,,,"30299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN JUAN","2016","Enero","00032","GUAJIRA","90,430","41,191",,,"0",,"11,345","0","0","0",,,"472","0",,,"152","0","0",,,"1,867",,,,"145457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN ONOFRE","2016","Enero","00033","SUCRE","47,152","0",,,"0",,"18,246","0","0","0",,,"4,685","0",,,"3,631","0","0",,,"7,654",,,,"81368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN PEDRO","2016","Enero","00034","CASANARE","49,927","2,379",,,"0",,"15,158","0","0","0",,,"1,707","0",,,"8,594","0","0",,,"6,720",,,,"84485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUPIA","2016","Enero","00035","CALDAS","107,781","0",,,"0",,"45,183","0","0","0",,,"7,345","0",,,"5,894","0","0",,,"14,245",,,,"180448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARAZA","2016","Enero","00036","ANTIOQUIA","77,395","957",,,"0",,"31,315","0","0","0",,,"5,470","0",,,"5,626","0","0",,,"15,402",,,,"136165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TORO","2016","Enero","00037","VALLE","14,940","2,910",,,"0",,"4,615","0","0","0",,,"1,077","0",,,"1,023","0","0",,,"1,231",,,,"25796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YUCAO","2016","Enero","00038","META","9,135","8,420",,,"0",,"1,008","0","3,689","0",,,"2,558","0",,,"5,317","4,773","2,801",,,"4,124",,,,"41825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL CARMEN","2016","Enero","00044","BOLIVAR","70,693","3,652",,,,,"32,224","0","32","0",,,"2,950","0",,,"3,825","0","0",,,"13,447",,,,"126823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANO","2016","Enero","00045","NARIÑO","53,954","0",,,"0",,"26,978","0","0","0",,,"0","0",,,"0","0","0",,,"0",,,,"80932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAZA","2016","Enero","00046","NARIÑO","0","0",,,"0",,"0","0","0","0",,,"2,495","0",,,"2,612","0","0",,,"6,370",,,,"11477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO NEGRO","2016","Enero","00047","SANTANDER",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LEBRIJA","2016","Enero","00048","SANTANDER",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHUSACA","2016","Enero","00049","CUNDINAMARCA",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHINAUTA","2016","Enero","00050","CUNDINAMARCA",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ACAPULCO","2016","Febrero","00001","RISARALDA","53,295","0",,,"0",,"18,674","0","0","0",,,"1,781","0",,,"400","0","0",,,"1,006",,,,"75156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
