Title:,"Time Series, Area-Averaged of Incident shortwave radiation land, time average hourly 0.5 x 0.625 deg. [MERRA-2 (hourly)"
User Start Date:,2015-12-31T00:00:00Z
User End Date:,2025-01-01T23:59:59Z
User Bounding Box:,"-75.76,5.33,-75.66,5.43"
Data Bounding Box:,"-75.625,5.5,-75.625,5.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2015-12-31T00:00:00Z&endtime=2025-01-01T23:59:59Z&bbox=-75.76,5.33,-75.66,5.43&data=M2T1NXLFO_5_12_4_SWGDN&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXLFO_5_12_4_SWGDN):, 1000000000000000

time, mean_M2T1NXLFO_5_12_4_SWGDN
2016-01-12 21:30:00,141.869904
2016-01-12 22:30:00,30.2963257
2016-01-12 23:30:00,0
2016-01-13 00:30:00,0
2016-01-13 01:30:00,0
2016-01-13 02:30:00,0
2016-01-13 03:30:00,0
2016-01-13 04:30:00,0
2016-01-13 05:30:00,0
2016-01-13 06:30:00,0
2016-01-13 07:30:00,0
2016-01-13 08:30:00,0
2016-01-13 09:30:00,0
2016-01-13 10:30:00,0
2016-01-13 11:30:00,23.8497105
2016-01-13 12:30:00,155.298325
2016-01-13 13:30:00,311.154297
2016-01-13 14:30:00,454.940948
2016-01-13 15:30:00,594.93988
2016-01-13 16:30:00,698.219421
2016-01-13 17:30:00,705.059387
2016-01-13 18:30:00,560.769653
2016-01-13 19:30:00,397.17569
2016-01-13 20:30:00,282.988495
2016-01-13 21:30:00,148.508118
2016-01-13 22:30:00,33.4178391
2016-01-13 23:30:00,0
2016-01-14 00:30:00,0
2016-01-14 01:30:00,0
2016-01-14 02:30:00,0
2016-01-14 03:30:00,0
2016-01-14 04:30:00,0
2016-01-14 05:30:00,0
2016-01-14 06:30:00,0
2016-01-14 07:30:00,0
2016-01-14 08:30:00,0
2016-01-14 09:30:00,0
2016-01-14 10:30:00,0
2016-01-14 11:30:00,27.2715263
2016-01-14 12:30:00,141.760132
2016-01-14 13:30:00,284.5271
2016-01-14 14:30:00,425.252472
2016-01-14 15:30:00,585.497498
2016-01-14 16:30:00,644.774231
2016-01-14 17:30:00,669.996277
2016-01-14 18:30:00,632.660522
2016-01-14 19:30:00,496.955078
2016-01-14 20:30:00,317.594666
2016-01-14 21:30:00,157.190857
2016-01-14 22:30:00,33.8659821
2016-01-14 23:30:00,0
2016-01-15 00:30:00,0
2016-01-15 01:30:00,0
2016-01-15 02:30:00,0
2016-01-15 03:30:00,0
2016-01-15 04:30:00,0
2016-01-15 05:30:00,0
2016-01-15 06:30:00,0
2016-01-15 07:30:00,0
2016-01-15 08:30:00,0
2016-01-15 09:30:00,0
2016-01-15 10:30:00,0
2016-01-15 11:30:00,46.8180695
2016-01-15 12:30:00,237.421341
2016-01-15 13:30:00,535.293457
2016-01-15 14:30:00,752.756897
2016-01-15 15:30:00,906.24939
2016-01-15 16:30:00,986.125916
2016-01-15 17:30:00,988.076355
2016-01-15 18:30:00,911.831116
2016-01-15 19:30:00,759.159668
2016-01-15 20:30:00,551.897705
2016-01-15 21:30:00,302.541382
2016-01-15 22:30:00,61.8062973
2016-01-15 23:30:00,0
2016-01-16 00:30:00,0
2016-01-16 01:30:00,0
2016-01-16 02:30:00,0
2016-01-16 03:30:00,0
2016-01-16 04:30:00,0
2016-01-16 05:30:00,0
2016-01-16 06:30:00,0
2016-01-16 07:30:00,0
2016-01-16 08:30:00,0
