system:index,fecha,precip_mm,.geo
20160606,2016-06-06,5.086502552032471,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160607,2016-06-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160608,2016-06-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160609,2016-06-09,5.086502552032471,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160610,2016-06-10,10.173005104064941,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160611,2016-06-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160612,2016-06-12,8.589070320129395,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160613,2016-06-13,4.294535160064697,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160614,2016-06-14,12.883605003356934,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160615,2016-06-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160616,2016-06-16,4.013687610626221,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160617,2016-06-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160618,2016-06-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160619,2016-06-19,8.027375221252441,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160620,2016-06-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160621,2016-06-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160622,2016-06-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160623,2016-06-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160624,2016-06-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160625,2016-06-25,10.008682250976562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160626,2016-06-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160627,2016-06-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160628,2016-06-28,14.480435371398926,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160629,2016-06-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160630,2016-06-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160701,2016-07-01,18.506078720092773,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160702,2016-07-02,9.253039360046387,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160703,2016-07-03,4.626519680023193,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160704,2016-07-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160705,2016-07-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160706,2016-07-06,5.096456527709961,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160707,2016-07-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160708,2016-07-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160709,2016-07-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160710,2016-07-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160711,2016-07-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160712,2016-07-12,5.39513635635376,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160713,2016-07-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160714,2016-07-14,10.79027271270752,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160715,2016-07-15,10.79027271270752,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160716,2016-07-16,8.236151695251465,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160717,2016-07-17,4.118075847625732,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160718,2016-07-18,8.236151695251465,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160719,2016-07-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160720,2016-07-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160721,2016-07-21,5.568932056427002,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160722,2016-07-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160723,2016-07-23,5.568932056427002,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160724,2016-07-24,5.568932056427002,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160725,2016-07-25,5.568932056427002,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160726,2016-07-26,3.2144744396209717,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160727,2016-07-27,3.2144744396209717,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160728,2016-07-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160729,2016-07-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160730,2016-07-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160731,2016-07-31,1.6072372198104858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160801,2016-08-01,5.243167877197266,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160802,2016-08-02,5.243167877197266,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160803,2016-08-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160804,2016-08-04,10.486335754394531,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160805,2016-08-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160806,2016-08-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160807,2016-08-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160808,2016-08-08,4.796085357666016,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160809,2016-08-09,9.592170715332031,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160810,2016-08-10,4.796085357666016,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160811,2016-08-11,2.159742593765259,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160812,2016-08-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160813,2016-08-13,4.319485187530518,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160814,2016-08-14,4.319485187530518,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160815,2016-08-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160816,2016-08-16,3.1755220890045166,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160817,2016-08-17,3.1755220890045166,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160818,2016-08-18,3.1755220890045166,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160819,2016-08-19,3.1755220890045166,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160820,2016-08-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160821,2016-08-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160822,2016-08-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160823,2016-08-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160824,2016-08-24,10.323211669921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160825,2016-08-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160826,2016-08-26,6.271901607513428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160827,2016-08-27,12.543803215026855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160828,2016-08-28,12.543803215026855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160829,2016-08-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160830,2016-08-30,12.543803215026855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160831,2016-08-31,6.271901607513428,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160901,2016-09-01,12.330599784851074,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160902,2016-09-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160903,2016-09-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160904,2016-09-04,16.440799713134766,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160905,2016-09-05,12.330599784851074,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160906,2016-09-06,17.692218780517578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160907,2016-09-07,5.897406101226807,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160908,2016-09-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160909,2016-09-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160910,2016-09-10,11.794812202453613,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160911,2016-09-11,9.945361137390137,"{""type"":""MultiPoint"",""coordinates"":[]}"
