"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2020-05-16 06:01:49","5.221","-74.705","3.97","0.7","MLr_2","12","0.9","213","4.525","4.525","7.30","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-05-23 01:10:21","5.377","-74.619","3.63","1.2","MLr_2","18","0.6","126","1.202","1.202","2.90","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-05-23 03:02:24","5.033","-74.679","12.28","1.1","MLr_2","13","0.6","184","2.192","2.192","3.50","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-05-23 07:38:55","5.049","-74.629","19.12","0.7","MLr_2","14","0.7","106","1.697","1.697","6.00","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-06-07 17:04:58","5.016","-74.541","4.37","1.0","MLr_2","10","0.3","266","1.838","1.838","6.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-06-08 05:30:59","5.128","-74.68","0","0.7","MLr_2","10","0.9","249","3.182","3.182","4.70","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-06-11 01:54:40","5.132","-74.703","13.92","1.3","MLr_2","26","0.7","76","1.061","1.061","2.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-06-23 04:15:49","5.189","-74.668","16.11","1.0","MLr_2","16","0.5","136","1.202","1.202","2.00","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-06-30 02:24:50","5.09","-74.583","12.49","0.8","MLr_2","16","0.4","150","1.414","1.414","2.00","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-07-19 20:35:45","5.286","-74.726","17.39","0.8","MLr_2","9","0.3","223","2.404","2.404","3.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-07-21 04:54:45","5.362","-74.664","-0.01","2.4","MLr_2","45","1.1","56","1.202","1.202","2.90","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-07-26 13:03:08","5.242","-74.643","21.97","1.0","MLr_2","16","0.4","181","1.556","1.556","1.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-07-27 04:20:49","5.123","-74.598","0.46","1.3","MLr_2","9","0.6","274","4.950","4.950","7.30","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-08-07 06:06:26","5.021","-74.608","4.81","1.0","MLr_2","16","0.4","152","0.919","0.919","4.00","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-08-09 03:37:39","5.257","-74.618","22","1.1","MLr_2","11","0.3","78","0.990","0.990","1.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-08-16 06:46:03","5.232","-74.694","30.76","0.7","MLr_2","13","0.3","84","0.990","0.990","1.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-09-23 06:41:20","5.243","-74.692","16.97","0.9","MLr_2","16","0.5","112","1.131","1.131","2.10","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-09-23 11:54:28","5.231","-74.701","28.94","1.5","MLr_2","23","0.8","64","1.485","1.485","2.40","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-09-24 06:35:50","5.01","-74.637","3.13","1.3","MLr_2","16","0.3","150","0.566","0.566","1.30","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-09-27 20:44:19","4.981","-74.548","15.3","0.9","MLr_2","13","0.6","224","3.182","3.182","5.70","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-09-28 20:41:38","5.154","-74.709","17.34","1.0","MLr_2","13","0.3","177","1.838","1.838","2.10","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-09-30 14:25:12","5.024","-74.598","28.13","0.8","MLr_2","8","0.5","259","4.879","4.879","7.70","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-10-06 03:23:27","5.117","-74.597","17.5","0.9","MLr_2","10","0.3","223","2.192","2.192","4.90","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-10-07 18:46:06","5.064","-74.708","21.48","1.0","MLr_2","9","0.8","104","2.792","2.608","8.27","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-10-13 01:14:43","5.351","-74.626","19.26","1.5","MLr_2","16","0.9","68","2.392","2.268","5.59","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-10-13 09:36:59","5.157","-74.686","25.12","1.3","MLr_2","13","0.8","68","2.967","2.137","7.68","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-10-24 19:33:11","5.011","-74.652","15.15","1.1","MLr_2","14","0.5","212","1.838","1.838","2.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-11-02 06:33:19","5.047","-74.693","1.73","0.9","MLr_2","18","0.8","189","2.333","2.333","4.00","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-11-02 11:06:39","5.233","-74.678","0","0.9","MLr_2","14","0.5","148","0.636","0.636","1.50","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-11-03 10:18:09","5.209","-74.671","22.07","2.3","MLr_2","32","1.0","35","2.369","1.928","4.86","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-11-09 18:08:52","5.419","-74.65","34.41","0.7","MLr_2","6","0.3","221","4.950","4.950","6.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-11-09 20:08:41","5.03","-74.731","3.34","0.7","MLr_2","9","0.3","129","1.061","1.061","2.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-11-22 20:45:05","5.186","-74.645","12.93","1.0","MLr_2","8","0.8","152","3.651","4.505","10.98","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-11-30 20:21:20","5.113","-74.684","14.04","1.4","MLr_2","17","0.6","162","2.051","2.051","3.70","Guaduas - Cundinamarca, Colombia","","","","manual"
"2020-12-30 21:55:28","5.059","-74.692","17.57","0.5","MLr_2","8","0.1","179","1.202","1.202","2.00","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-01-05 06:17:06","5.366","-74.639","25.12","1.1","MLr_2","10","1.0","85","3.432","2.622","9.20","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-02-13 23:03:55","5.051","-74.6","2.86","0.9","MLr_2","16","0.7","121","1.273","1.273","3.40","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-02-16 01:21:14","5.326","-74.643","39.65","1.3","MLr_2","14","0.9","58","3.355","3.270","7.71","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-02-23 14:15:54","5.365","-74.673","5.45","1.7","MLr_2","28","0.8","57","1.202","1.202","3.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-03-03 11:38:09","5.072","-74.703","37.07","1.2","MLr_2","9","1.0","83","3.829","3.847","9.96","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-03-11 09:18:14","5.011","-74.581","27.93","1.2","MLr_2","11","0.9","77","4.663","2.825","5.69","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-04-08 05:47:06","5.194","-74.702","3.38","1.0","MLr_2","11","0.3","122","1.273","1.273","2.30","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-04-12 04:28:34","5.207","-74.615","40.35","1.0","MLr_2","13","1.1","65","3.200","3.006","7.94","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-04-21 06:41:03","5.07","-74.671","45.98","1.5","MLr_2","12","0.7","54","3.501","4.358","10.16","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-04-27 00:31:36","5.286","-74.716","32.38","0.9","MLr_2","7","0.9","112","4.541","5.541","10.23","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-04-27 04:07:04","5.235","-74.654","22.07","1.0","MLr_2","8","1.1","135","3.551","4.504","9.04","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-05-21 06:10:03","5.055","-74.66","30.98","1.1","MLr_2","8","0.8","85","3.103","3.072","8.32","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-05-23 11:53:31","5.075","-74.561","33.26","2.0","MLr_2","24","1.3","59","2.250","2.046","3.85","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-07-05 20:29:47","5.099","-74.583","27.93","1.8","MLr_2","14","0.9","70","2.327","2.156","5.38","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-08-01 18:43:34","5.341","-74.624","24.88","1.2","MLr_2","10","1.2","181","3.545","5.787","7.22","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-08-02 11:18:33","5.135","-74.595","2.83","0.9","MLr_2","8","0.6","222","3.394","3.394","5.70","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-08-06 16:15:11","5.225","-74.683","43.05","1.6","MLr_2","15","1.0","55","3.573","2.714","6.33","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-08-14 06:57:50","5.357","-74.653","31.25","0.8","MLr_2","10","0.5","193","3.818","3.818","2.70","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-09-10 18:21:50","5.411","-74.663","40.82","1.5","MLr_2","16","1.2","57","3.036","3.120","5.63","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-09-14 02:55:48","5.247","-74.644","28.05","1.4","MLr_2","8","1.1","181","3.100","6.344","8.63","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-09-21 15:18:41","5.353","-74.679","31.73","1.1","MLr_2","11","0.6","117","2.121","2.121","2.60","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-09-29 22:51:56","5.078","-74.698","22.07","2.4","MLr_2","23","1.2","52","2.296","2.294","4.92","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-10-30 08:41:08","5.097","-74.575","35.2","1.1","MLr_2","12","0.9","58","3.005","2.860","6.64","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-11-04 02:12:08","5.094","-74.567","27.58","1.1","MLr_2","7","0.9","189","3.549","6.279","11.34","Guaduas - Cundinamarca, Colombia","","","","manual"
"2021-11-14 05:29:40","5","-74.66","34.96","1.3","MLr_2","14","1.0","70","3.307","2.755","7.49","Guaduas - Cundinamarca, Colombia","","","","manual"
